area_limpo,bathrooms_limpo,rooms_limpo,condo_limpo,garages_limpo,price_limpo
64,2.0,2.0,778.0,1.0,715000.0
83,3.0,2.0,600.0,2.0,1350000.0
75,2.0,3.0,717.0,1.0,680000.0
47,2.0,1.0,463.0,1.0,750000.0
67,2.0,2.0,778.0,1.0,760000.0
131,5.0,3.0,950.0,2.0,1950000.0
49,2.0,1.0,648.0,1.0,530000.0
56,2.0,1.0,502.0,0.0,750000.0
110,2.0,3.0,700.0,2.0,1500000.0
157,5.0,3.0,1550.0,2.0,1949677.0
95,2.0,2.0,738.0,2.0,1190000.0
125,5.0,3.0,1200.0,2.0,1500000.0
92,2.0,3.0,750.0,2.0,1300000.0
74,2.0,2.0,800.0,2.0,900000.0
43,1.0,1.0,680.0,1.0,725000.0
50,1.0,1.0,630.0,1.0,520000.0
86,3.0,3.0,1120.0,2.0,1100000.0
83,2.0,2.0,650.0,2.0,1250000.0
46,2.0,1.0,722.0,1.0,460000.0
53,1.0,1.0,680.0,1.0,750000.0
95,3.0,2.0,736.0,2.0,1350000.0
147,3.0,3.0,1200.0,2.0,2300000.0
64,2.0,2.0,643.0,2.0,775000.0
34,1.0,1.0,580.0,1.0,480000.0
138,4.0,3.0,1500.0,2.0,1740000.0
39,1.0,1.0,560.0,1.0,670000.0
105,4.0,3.0,800.0,2.0,1550000.0
136,4.0,3.0,1500.0,2.0,1630000.0
64,2.0,2.0,643.0,2.0,783000.0
132,5.0,3.0,1500.0,2.0,1702000.0
125,5.0,3.0,1200.0,2.0,1500000.0
41,1.0,1.0,500.0,1.0,580000.0
62,2.0,2.0,650.0,2.0,790000.0
91,3.0,2.0,950.0,2.0,1250000.0
67,2.0,2.0,777.0,1.0,675000.0
115,5.0,3.0,1600.0,3.0,1250000.0
80,2.0,2.0,630.0,1.0,1144900.0
70,2.0,2.0,790.0,1.0,1090000.0
75,2.0,2.0,750.0,1.0,920000.0
92,3.0,2.0,780.0,2.0,1050000.0
50,2.0,1.0,630.0,1.0,520000.0
117,5.0,3.0,1300.0,2.0,1500000.0
68,2.0,2.0,925.0,1.0,1010000.0
130,5.0,3.0,1100.0,3.0,1550000.0
136,4.0,3.0,1500.0,2.0,1630000.0
134,5.0,3.0,1400.0,2.0,1900000.0
51,1.0,1.0,682.0,1.0,530000.0
134,5.0,3.0,1250.0,2.0,1750000.0
147,5.0,3.0,1300.0,2.0,1700000.0
72,2.0,2.0,875.0,1.0,1050000.0
43,1.0,1.0,585.0,1.0,650000.0
69,2.0,2.0,800.0,1.0,1080000.0
58,2.0,1.0,590.0,1.0,718000.0
59,1.0,1.0,560.0,1.0,600000.0
50,1.0,1.0,630.0,1.0,520000.0
108,3.0,2.0,1600.0,2.0,1700000.0
69,2.0,2.0,547.0,1.0,911000.0
95,3.0,3.0,950.0,3.0,1350000.0
45,1.0,1.0,450.0,1.0,560000.0
165,4.0,3.0,1100.0,0.0,2400000.0
69,2.0,2.0,880.0,1.0,950000.0
64,3.0,2.0,645.0,2.0,775200.0
58,2.0,1.0,890.0,1.0,850000.0
63,2.0,1.0,693.0,1.0,360000.0
70,2.0,2.0,614.0,1.0,590000.0
124,3.0,3.0,900.0,1.0,999999.0
96,4.0,2.0,1100.0,2.0,970000.0
140,4.0,3.0,1280.0,2.0,1450000.0
110,3.0,3.0,800.0,2.0,1380000.0
105,5.0,3.0,1640.0,3.0,1300000.0
83,2.0,2.0,850.0,2.0,1010000.0
95,2.0,3.0,780.0,2.0,1170000.0
138,3.0,2.0,1600.0,2.0,1850000.0
74,2.0,2.0,720.0,2.0,1036800.0
115,5.0,3.0,1500.0,2.0,1250000.0
117,3.0,3.0,1247.0,2.0,1399000.0
130,5.0,3.0,900.0,3.0,1900000.0
132,3.0,3.0,1200.0,2.0,1550000.0
62,1.0,2.0,760.0,1.0,1060000.0
105,4.0,3.0,900.0,2.0,1260300.0
74,2.0,2.0,800.0,1.0,1065000.0
79,2.0,3.0,850.0,2.0,920000.0
51,1.0,1.0,682.0,1.0,530000.0
57,2.0,2.0,920.0,1.0,680000.0
76,3.0,2.0,800.0,2.0,760000.0
83,2.0,2.0,941.0,2.0,1200000.0
50,2.0,1.0,630.0,1.0,520000.0
58,1.0,1.0,675.0,1.0,850000.0
62,2.0,2.0,740.0,1.0,850000.0
94,2.0,3.0,773.0,2.0,1147000.0
66,2.0,2.0,1000.0,1.0,1080000.0
34,1.0,1.0,360.0,1.0,520000.0
62,2.0,2.0,648.0,2.0,800000.0
68,2.0,1.0,850.0,1.0,940000.0
124,4.0,3.0,1457.0,2.0,1060000.0
63,2.0,2.0,651.0,1.0,850000.0
67,2.0,2.0,400.0,1.0,765000.0
130,5.0,3.0,950.0,3.0,1450000.0
67,2.0,2.0,400.0,1.0,720000.0
57,1.0,1.0,668.0,1.0,650000.0
168,3.0,2.0,1100.0,2.0,2500000.0
105,3.0,2.0,940.0,2.0,1550000.0
132,5.0,3.0,1100.0,2.0,1550000.0
95,3.0,2.0,736.0,2.0,1150000.0
132,5.0,3.0,1100.0,2.0,1570000.0
68,2.0,1.0,800.0,1.0,990000.0
83,3.0,3.0,830.0,2.0,780000.0
132,4.0,3.0,1400.0,3.0,1915000.0
130,5.0,3.0,1100.0,2.0,1490000.0
131,5.0,3.0,1500.0,2.0,1705000.0
56,2.0,2.0,700.0,1.0,670000.0
54,3.0,1.0,432.0,1.0,567000.0
62,2.0,2.0,800.0,1.0,750000.0
70,2.0,2.0,800.0,1.0,898000.0
55,1.0,2.0,700.0,1.0,500000.0
75,2.0,2.0,750.0,1.0,950000.0
167,5.0,3.0,1900.0,3.0,1970000.0
74,3.0,2.0,710.0,2.0,954000.0
68,2.0,1.0,790.0,1.0,798000.0
172,5.0,3.0,1750.0,3.0,2000000.0
54,1.0,1.0,600.0,1.0,550000.0
69,2.0,2.0,950.0,1.0,1200000.0
83,2.0,1.0,822.0,1.0,1090000.0
138,5.0,3.0,1100.0,2.0,1790000.0
73,3.0,2.0,550.0,2.0,798000.0
48,2.0,1.0,384.0,1.0,530000.0
143,4.0,3.0,1500.0,2.0,1990000.0
66,1.0,2.0,800.0,1.0,1077000.0
84,2.0,1.0,672.0,2.0,725000.0
45,2.0,1.0,600.0,1.0,600000.0
180,5.0,3.0,1980.0,2.0,2488000.0
63,2.0,2.0,770.0,1.0,850000.0
58,2.0,1.0,650.0,1.0,850000.0
104,3.0,3.0,842.0,2.0,1200000.0
55,1.0,1.0,620.0,1.0,770000.0
90,2.0,2.0,800.0,2.0,1080000.0
74,2.0,2.0,710.0,2.0,930000.0
65,2.0,2.0,778.0,1.0,760000.0
127,5.0,3.0,1100.0,4.0,1400000.0
44,1.0,1.0,380.0,1.0,490000.0
97,3.0,3.0,1000.0,2.0,890000.0
108,3.0,2.0,1600.0,2.0,1700000.0
70,2.0,1.0,1033.0,1.0,1050000.0
47,1.0,1.0,619.0,1.0,690000.0
41,1.0,1.0,400.0,1.0,625000.0
67,2.0,2.0,500.0,2.0,835000.0
68,2.0,2.0,800.0,1.0,1010000.0
80,2.0,1.0,700.0,1.0,1170000.0
68,2.0,2.0,544.0,0.0,820000.0
96,2.0,3.0,980.0,2.0,901000.0
105,2.0,3.0,650.0,2.0,1690000.0
150,5.0,3.0,1200.0,3.0,2300000.0
41,1.0,1.0,535.0,1.0,630000.0
136,4.0,4.0,1660.0,3.0,1380000.0
50,2.0,1.0,682.0,1.0,529999.0
108,3.0,2.0,1600.0,2.0,1700000.0
83,2.0,2.0,941.0,2.0,1208000.0
130,5.0,3.0,700.0,2.0,1914000.0
147,5.0,3.0,1177.0,2.0,1850000.0
84,2.0,2.0,550.0,2.0,1380000.0
116,3.0,3.0,750.0,2.0,1350000.0
43,1.0,1.0,405.0,1.0,480000.0
108,3.0,2.0,1330.0,1.0,1060000.0
68,2.0,2.0,500.0,2.0,1043600.0
84,3.0,2.0,480.0,2.0,1300000.0
134,5.0,3.0,1160.0,2.0,1820000.0
40,2.0,1.0,360.0,1.0,520000.0
78,3.0,2.0,940.0,2.0,1200000.0
138,4.0,2.0,1440.0,2.0,1930000.0
59,2.0,1.0,531.0,1.0,750000.0
45,1.0,1.0,550.0,1.0,690000.0
111,4.0,3.0,1138.0,3.0,1600000.0
70,2.0,2.0,750.0,2.0,910000.0
50,1.0,1.0,630.0,1.0,520000.0
50,1.0,1.0,530.0,1.0,660000.0
84,2.0,1.0,400.0,2.0,980000.0
67,2.0,2.0,650.0,2.0,896000.0
52,2.0,1.0,416.0,1.0,520000.0
100,3.0,3.0,600.0,2.0,1195000.0
145,5.0,3.0,1200.0,2.0,1750000.0
165,5.0,3.0,2000.0,3.0,1950000.0
68,2.0,2.0,500.0,2.0,1040000.0
64,2.0,2.0,400.0,1.0,780000.0
111,3.0,2.0,1100.0,2.0,1500000.0
39,1.0,1.0,550.0,1.0,639900.0
69,1.0,2.0,547.0,1.0,912000.0
52,1.0,1.0,580.0,1.0,795000.0
69,1.0,2.0,800.0,1.0,850000.0
44,1.0,1.0,510.0,1.0,560000.0
68,2.0,2.0,500.0,2.0,1043900.0
47,2.0,1.0,600.0,1.0,720000.0
74,2.0,2.0,760.0,1.0,849000.0
54,2.0,1.0,432.0,1.0,550000.0
138,4.0,3.0,1104.0,2.0,1720000.0
95,3.0,3.0,680.0,2.0,1200000.0
105,2.0,3.0,840.0,2.0,1280000.0
147,3.0,2.0,1130.0,2.0,2110000.0
147,4.0,3.0,1200.0,2.0,2050000.0
73,2.0,1.0,750.0,1.0,970000.0
75,1.0,2.0,700.0,2.0,700000.0
140,4.0,3.0,1250.0,2.0,1500000.0
63,2.0,2.0,652.0,1.0,725000.0
74,2.0,2.0,720.0,2.0,1017600.0
66,2.0,2.0,594.0,1.0,1280000.0
80,2.0,1.0,850.0,2.0,1289000.0
74,2.0,2.0,720.0,2.0,1017600.0
100,3.0,3.0,994.0,2.0,990000.0
106,4.0,3.0,1000.0,2.0,1351000.0
121,5.0,3.0,1800.0,3.0,1050000.0
131,4.0,3.0,1100.0,2.0,1851000.0
66,2.0,2.0,745.0,1.0,960000.0
68,3.0,2.0,540.0,1.0,766300.0
68,3.0,2.0,540.0,1.0,766300.0
116,2.0,2.0,1700.0,3.0,1320000.0
34,1.0,1.0,500.0,1.0,580000.0
70,2.0,2.0,745.0,1.0,675000.0
70,2.0,1.0,750.0,1.0,970000.0
50,1.0,1.0,578.0,1.0,560000.0
130,5.0,4.0,1100.0,3.0,1450000.0
131,5.0,3.0,1300.0,2.0,2067744.0
116,5.0,3.0,1120.0,2.0,1390000.0
62,2.0,2.0,780.0,2.0,915000.0
147,4.0,3.0,1665.0,3.0,1800000.0
131,5.0,3.0,1300.0,3.0,2062477.0
58,2.0,1.0,670.0,1.0,850000.0
205,4.0,3.0,1800.0,4.0,2500000.0
106,2.0,2.0,848.0,2.0,1060000.0
165,4.0,3.0,1100.0,0.0,2400000.0
86,1.0,3.0,650.0,2.0,920000.0
67,2.0,2.0,525.0,1.0,846940.0
140,5.0,4.0,1720.0,3.0,1930000.0
41,1.0,1.0,400.0,1.0,620000.0
66,2.0,2.0,800.0,2.0,887000.0
67,2.0,3.0,655.0,1.0,660000.0
68,3.0,2.0,540.0,1.0,766300.0
127,4.0,3.0,1000.0,4.0,1387000.0
50,1.0,1.0,580.0,1.0,617000.0
130,5.0,3.0,1100.0,2.0,1550000.0
92,3.0,3.0,1000.0,2.0,1138000.0
62,2.0,2.0,780.0,2.0,915000.0
102,4.0,2.0,1100.0,2.0,1380000.0
70,2.0,2.0,700.0,1.0,1120000.0
103,4.0,3.0,927.0,2.0,1300000.0
103,4.0,3.0,824.0,2.0,1061000.0
39,1.0,1.0,500.0,1.0,500000.0
69,1.0,2.0,800.0,1.0,850000.0
94,3.0,3.0,773.0,2.0,1110000.0
62,2.0,2.0,780.0,2.0,915000.0
65,2.0,3.0,750.0,1.0,550000.0
72,2.0,2.0,576.0,2.0,850000.0
